image_file,pts_01_x,pts_01_y,pts_02_x,pts_02_y,pts_03_x,pts_03_y,pts_04_x,pts_04_y,pts_05_x,pts_05_y,pts_06_x,pts_06_y,pts_07_x,pts_07_y,pts_08_x,pts_08_y,pts_09_x,pts_09_y,pts_10_x,pts_10_y,pts_11_x,pts_11_y,pts_12_x,pts_12_y,pts_13_x,pts_13_y,pts_14_x,pts_14_y,pts_15_x,pts_15_y,pts_16_x,pts_16_y,pts_17_x,pts_17_y,pts_18_x,pts_18_y,pts_19_x,pts_19_y,pts_20_x,pts_20_y,pts_21_x,pts_21_y,pts_22_x,pts_22_y,pts_23_x,pts_23_y,pts_24_x,pts_24_y,pts_25_x,pts_25_y,pts_26_x,pts_26_y,pts_27_x,pts_27_y,pts_28_x,pts_28_y,pts_29_x,pts_29_y,pts_30_x,pts_30_y,pts_31_x,pts_31_y,pts_32_x,pts_32_y,pts_33_x,pts_33_y,pts_34_x,pts_34_y,pts_35_x,pts_35_y,pts_36_x,pts_36_y,pts_37_x,pts_37_y,pts_38_x,pts_38_y,pts_39_x,pts_39_y,pts_40_x,pts_40_y,pts_41_x,pts_41_y,pts_42_x,pts_42_y,pts_43_x,pts_43_y,pts_44_x,pts_44_y,pts_45_x,pts_45_y,pts_46_x,pts_46_y,pts_47_x,pts_47_y,pts_48_x,pts_48_y,pts_49_x,pts_49_y,pts_50_x,pts_50_y,pts_51_x,pts_51_y,pts_52_x,pts_52_y,pts_53_x,pts_53_y,pts_54_x,pts_54_y,pts_55_x,pts_55_y,pts_56_x,pts_56_y,pts_57_x,pts_57_y,pts_58_x,pts_58_y,pts_59_x,pts_59_y,pts_60_x,pts_60_y,pts_61_x,pts_61_y,pts_62_x,pts_62_y,pts_63_x,pts_63_y,pts_64_x,pts_64_y,pts_65_x,pts_65_y,pts_66_x,pts_66_y,pts_67_x,pts_67_y,pts_68_x,pts_68_y,age
001A02.JPG,74.9337,200.858,83.8168,220.22,93.4408,239.223,103.579,257.958,115.998,275.153,131.411,289.734,151.816,295.118,173.1,295.446,193.789,290.993,211.484,279.214,226.794,264.491,235.847,245.369,239.49,224.402,240.685,203.137,242.329,181.9,233.859,165.362,220.144,151.648,195.539,155.681,179.707,167.514,197.556,161.328,217.724,159.715,83.9854,183.702,100.749,162.942,127.371,161.732,137.858,170.606,126.564,168.185,107.848,168.975,105.993,194.001,121.32,180.286,143.472,192.067,124.144,199.648,121.993,190.037,221.354,182.706,204.817,173.429,188.631,188.459,206.43,191.58,200.119,181.59,151.554,190.74,155.602,207.615,149.83,222.815,155.203,228.69,173.354,231.11,189.489,226.27,191.102,217.799,183.68,203.553,180.411,186.517,163.218,226.608,181.018,223.446,146.627,259.717,155.413,252.08,167.829,246.995,175.774,248.455,182.973,245.734,192.823,248.879,201.186,256.522,200.146,263.791,189.367,270.548,178.195,274.27,160.653,271.701,149.49,266.684,159.694,261.369,177.388,261.766,191.775,258.537,189.241,252.921,176.581,253.698,159.725,255.997,176.581,258.135,173.373,216.782,2
001A05.JPG,115.947,221.239,121.382,250.566,130.001,279.096,141.677,306.538,155.812,332.787,174.679,355.746,198.785,373.255,226.294,384.376,255.797,383.06,282.046,369.149,303.949,349.126,317.981,322.876,326.01,294.191,330.605,264.728,332.34,234.954,323.197,215.143,311.005,196.348,279.004,195.84,261.733,208.031,285.099,204.984,301.862,206,142.361,209.047,164.711,185.681,194.173,188.221,216.524,203.968,189.602,197.872,168.267,196.348,164.711,224.794,186.842,212.235,208.597,227.127,185.03,232.414,181.982,220.223,311.272,230.388,291.029,217.774,265.288,229.874,290.179,235.97,284.591,225.302,225.159,230.382,224.618,255.398,214.846,272.6,221.25,285.172,250.557,292.354,270.63,282.638,271.256,271.484,262.916,257.002,255.129,231.906,234.168,280.505,261.394,281.22,199.253,315.212,217.324,309.62,236.495,306.904,249.034,312.164,257.502,308.811,269.426,313.003,281.543,321.816,274.195,330.946,260.507,337.854,250.049,339.087,227.48,335.935,211.765,327.827,225.41,321.305,250.049,324.864,264.277,323.902,264.11,319.739,249.542,320.292,225.418,317.305,250.049,322.832,249.034,269.495,5
001A08.JPG,90.6973,254.402,97.5994,288.41,105.539,323.116,116.14,355.281,130.852,386.652,152.216,413.762,183.27,428.88,216.972,436.772,251.309,433.244,280.319,415.208,300.473,387.004,312.78,354.695,323.476,321.681,330.649,287.761,334.768,253.303,314.429,230.215,292.99,209.326,251.212,215.923,233.622,232.414,254.511,231.314,286.394,222.519,106.639,232.964,124.23,210.426,168.206,214.273,187.996,232.414,157.762,225.817,129.177,221.42,128.078,253.303,153.936,242.924,176.281,256.834,153.586,260.231,153.914,248.905,289.633,253.537,269.371,245.04,247.804,256.797,271.061,260.835,268.253,250.554,192.394,258.8,191.534,288.435,181.778,316.429,192.394,330.812,211.633,335.759,233.072,334.11,245.715,317.619,233.072,292.882,230.323,257.701,196.036,321.897,227.025,322.566,170.405,362.145,187.632,361.686,203.848,358.982,214.382,362.145,228.389,357.055,245.178,360.429,260.008,363.245,252.626,370.591,238.436,379.888,214.932,387.982,194.849,383.775,180.524,375.4,198.072,368.322,214.382,370.391,231.615,366.562,232.973,365.658,216.031,366.543,199.94,367.092,214.932,368.192,213.283,310.473,8
001A10.JPG,68.1974,234.479,69.4503,262.977,73.3713,291.214,80.1176,318.917,90.2875,345.554,105.453,369.524,129.6,384.399,157.303,390.904,185.464,387.906,211.465,376.703,229.5,354.754,240.697,328.562,250.207,301.668,257.844,274.199,261.974,245.982,256.665,229.17,234.687,207.404,201.609,213.772,185.879,224.746,204.972,221.616,232.534,218.601,83.2395,218.552,100.323,202.236,128.746,207.835,145.177,223.861,123.578,215.587,102.476,210.85,103.736,238.512,121.369,229.594,140.869,240.942,120.874,245.205,118.633,235.364,231.907,244.344,213.347,233,194.11,243.544,214.231,249.4,212.424,238.018,152.122,239.056,147.913,269.112,136.187,290.906,142.749,302.523,166.644,307.316,186.963,305.355,193.966,292.605,184.107,267.871,180.603,241.01,149.418,297.411,178.702,299.564,129.25,334.464,142.318,330.009,154.933,327.717,163.759,330.04,174.349,327.97,187.877,332.023,197.382,337.119,191.79,343.954,179.465,349.417,164.742,351.502,147.296,348.532,136.306,342.193,149.933,336.256,164.144,337.746,178.407,337.447,179.236,334.741,164.144,334.607,151.036,333.658,164.443,336.251,167.298,290.223,10
001A14.JPG,57.678,212.006,64.3484,239.792,72.593,267.148,82.099,294.086,94.4543,319.838,111.428,342.641,136.242,356.601,164.343,359.427,192.063,352.651,216.786,338.752,233.372,315.803,241.43,288.445,244.806,260.079,249.313,231.864,250.871,203.355,235.63,189.762,218.5,169.84,185.175,178.452,171.782,194.293,192.664,187.812,215.879,180.698,72.5074,197.588,87.8223,179.575,118.035,182.432,132.237,195.117,112.161,192.306,90.8178,190.433,94.2727,210.654,109.369,200.259,130.28,210.696,111.106,215.098,108.345,205.827,217.771,204.127,199.323,196.613,182.316,207.716,201.591,210.196,200.204,200.472,142.535,213.242,142.115,240.608,134.252,261.95,141.366,272.435,162.307,277.09,181.431,271.311,185.924,258.955,176.563,239.859,172.193,212.83,146.065,269.66,173.956,267.334,123.586,299.746,141.239,297,153.945,294.826,163.572,296.272,174.043,292.928,187.1,293.754,202.676,293.567,189.42,306.818,176.86,312.841,165.191,314.987,151.965,314.673,139.989,310.597,149.987,302.849,164.221,304.383,177.451,300.662,177.879,298.351,164.059,301.301,150.789,300.685,164.221,302.599,160.66,258.965,14
001A16.JPG,102.386,395.29,110.738,458.337,118.707,521.431,127.173,584.439,147.538,644.467,183.818,696.381,237.054,730.462,299.365,740.939,361.981,731.21,416.097,698.803,453.291,647.623,475.52,588.138,491.032,526.466,504.788,464.381,513.586,401.41,475.648,375.71,421.121,330.335,344.249,337.416,303.09,373.262,360.279,361.16,422.765,352.437,118.295,364.695,142.445,325.084,206.19,334.836,246.795,365.919,192.72,358.317,151.28,349.984,151.28,394.162,189.949,373.541,234.609,402.353,190.822,410.448,190.5,386.724,426.964,402.393,387.6,383.289,347.27,403.801,390.734,414.78,391.205,391.619,246.056,403.732,238.749,471.249,223.572,520.271,238.03,545.974,277.39,549.49,316.747,547.581,336.025,521.877,317.467,469.369,308.199,405.444,243.653,529.91,303.896,531.516,202.725,605.887,234.93,597.073,260.447,591.797,279.186,598.878,297.763,591.872,332.092,604.05,358.833,611.621,336.294,627.032,308.799,639.669,278.549,646.666,252.999,639.748,232.393,627.376,251.665,611.841,279.824,619.905,310.592,613.876,313.803,611.08,279.186,613.533,250.248,608.696,279.824,617.993,276.167,505.433,16
001A18.JPG,95.5573,230.905,100.304,266.818,105.52,302.525,112.601,337.913,127.041,371.117,146.274,401.725,174.371,424.387,209.328,431.292,245.127,426.248,275.41,406.846,296.711,377.755,310.875,344.438,319.391,309.3,328.018,274.24,336.242,238.975,327.222,223.309,301.112,197.674,260.719,200.392,244.145,218.087,262.66,212.391,297.314,210.492,112.173,220.936,136.383,193.876,173.038,198.166,200.946,217.612,167.871,211.806,140.656,206.694,141.131,230.43,162.781,214.949,188.929,234.691,162.028,236.162,158.221,226.632,298.264,234.702,275.934,220.872,252.216,235.652,277.274,242.87,272.629,231.854,202.845,239.45,197.148,273.155,185.755,294.992,194.774,316.829,223.656,332.528,248.893,319.203,254.589,296.416,241.297,274.104,237.974,240.874,203.787,319.534,239.337,320.567,160.594,336.768,187.703,332.204,207.255,332.121,220.409,337.243,232.179,333.662,246.648,335.617,270.73,339.616,253.05,357.644,237.322,369.357,218.036,374.271,193.353,368.171,176.828,355.558,194.527,352.642,218.985,360.029,237.256,353.743,238.231,344.226,219.935,348.636,197.668,342.791,219.46,354.807,219.935,307.81,18
001A19.JPG,63.481,248.648,65.1864,287.192,71.9286,326.314,81.9571,364.114,92.4554,400.278,109.68,433.147,145.887,445.071,184.414,449.333,222.624,444.69,254.147,422.63,275.121,390.308,283.799,352.64,284.948,313.896,291.358,275.665,294.313,237.029,237.767,217.663,203.071,192.857,157.557,201.343,133.97,222.311,156.014,219.086,204.614,210.6,54.9571,228.343,59.5857,208.286,88.8528,210.29,109.957,229.283,88.1286,222.943,64.2143,223.714,76.3902,247.188,85.7243,235.934,104.659,242.867,88.9382,248.963,87.4937,240.127,209.157,235.898,182.87,224.839,164.825,239.201,187.886,241.787,188.192,230.832,112.281,243.225,102.013,285.4,91.8502,302.89,103.251,324.684,121.576,327.657,148.687,323.01,154.11,300.546,144.814,284.279,144.814,247.098,104.871,318.254,129.477,316.476,99.8873,364.838,106.071,354.781,115.344,353.173,125.493,355.895,140.635,351.57,163.747,356.032,181.995,360.965,168.928,367.07,151.442,372.725,130.091,376.143,114.604,373.286,105.237,368.415,117.094,363.407,128.004,367.374,157.581,362.13,158.966,360.551,126.928,363.07,117.14,361.079,127.645,365.222,103.76,306.743,19
001A22.JPG,95.0714,246.857,94.3001,285.985,97.7072,324.979,102.475,363.746,113.761,401.215,131.582,434.079,167.338,446.474,206.512,444.341,245.388,439.764,279.848,426.928,306.069,396.893,316.557,360.661,322.158,322.014,329.284,283.535,331.129,244.543,298.729,223.714,271.267,187.605,228.837,193.326,203.843,214.457,233.877,207.667,269.36,204.768,102.786,223.714,112.513,202.384,142.521,199.32,169.9,216,138.924,213.66,115.85,215.256,119.187,243.383,138.718,230.894,159.233,241.476,139.372,247.272,136.729,238.371,272.823,238.041,250.049,223.987,225.5,238.616,251.896,244.137,249.357,232.2,173.059,242.907,162.57,278.185,149.726,301.052,161.617,311.08,183.014,314.743,208.337,312.51,223.306,300.495,210.721,274.371,210.721,241.953,168.003,304.922,196.234,303.619,142.071,356.847,159.952,345.737,174.539,340.029,185.93,343.975,198.696,338.69,218.787,346.357,237.786,354.857,217.554,362.926,202.753,367.632,187.361,370.673,170.409,368.767,158.333,363.662,170.443,355.33,186.407,356.37,206.565,353.803,207.458,352.133,186.407,353.033,170.216,352.457,186.407,355.417,179.929,289.286,22
001A28.JPG,98.4905,254.781,98.5066,297.059,102.673,339.129,109.812,380.717,127.099,419.22,152.027,453.184,187.208,476.506,227.801,484.59,268.71,474.024,306.283,455.745,326.841,419.084,335.607,377.836,338.699,335.666,346.545,294.132,352.433,252.267,336.51,232.99,315.065,202.361,259.247,211.761,244.037,233.874,270.047,229.372,309.063,222.369,112.738,240.533,135.078,203.191,178.829,210.993,196.548,229.638,168.507,226.371,136.995,221.869,144.628,249.35,162.672,239.606,188.144,251.479,162.392,254.851,160.51,245.562,307.346,249.339,286.309,239.166,263.425,250.884,288.906,256.734,287.062,245.562,208.281,255.619,205.855,300.215,191.422,329.951,203.856,344.229,229.233,346.971,249.871,345.228,262.895,331.068,250.892,300.573,245.995,257.295,207.943,335.146,243.649,335.41,171.405,379.657,200.996,376.217,218.662,375.127,229.936,379.009,241.334,375.008,257.231,378.065,280.357,381.333,264.328,394.83,248.059,403.081,230.532,405.941,209.858,404.625,190.99,396.626,210.587,387.966,229.936,388.71,247.854,387.756,249.122,383.9,230.13,385.218,212.986,383.982,230.071,387.2,227.557,327.695,28
